size,seen,unseen,proportion
771,51,720,0.06614785992217899
772,71,701,0.09196891191709844
773,40,733,0.0517464424320828
774,21,753,0.027131782945736434
775,48,727,0.06193548387096774
776,29,747,0.037371134020618556
777,66,711,0.08494208494208494
778,63,715,0.08097686375321336
779,24,755,0.03080872913992298
780,25,755,0.03205128205128205
781,21,760,0.026888604353393086
782,34,748,0.043478260869565216
783,59,724,0.07535121328224777
784,69,715,0.08801020408163265
785,31,754,0.03949044585987261
786,21,765,0.026717557251908396
787,38,749,0.048284625158831
788,29,759,0.03680203045685279
789,21,768,0.026615969581749048
790,49,741,0.0620253164556962
791,31,760,0.039190897597977246
792,45,747,0.056818181818181816
793,37,756,0.04665825977301387
794,29,765,0.036523929471032744
795,47,748,0.05911949685534591
796,34,762,0.04271356783919598
797,22,775,0.027603513174404015
798,41,757,0.05137844611528822
799,60,739,0.07509386733416772
800,44,756,0.055
801,63,738,0.07865168539325842
802,29,773,0.03615960099750624
803,23,780,0.028642590286425903
804,72,732,0.08955223880597014
805,48,757,0.05962732919254658
806,45,761,0.05583126550868486
807,98,709,0.12143742255266418
808,36,772,0.04455445544554455
809,55,754,0.06798516687268233
810,30,780,0.037037037037037035
811,39,772,0.04808877928483354
812,50,762,0.06157635467980296
813,33,780,0.04059040590405904
814,40,774,0.04914004914004914
815,61,754,0.07484662576687116
816,22,794,0.02696078431372549
817,58,759,0.07099143206854346
818,35,783,0.042787286063569685
819,59,760,0.07203907203907203
820,43,777,0.0524390243902439
821,66,755,0.08038976857490865
822,24,798,0.029197080291970802
823,55,768,0.06682867557715674
824,26,798,0.03155339805825243
825,38,787,0.04606060606060606
826,52,774,0.06295399515738499
827,31,796,0.037484885126964934
828,36,792,0.043478260869565216
829,44,785,0.05307599517490953
830,32,798,0.03855421686746988
831,30,801,0.036101083032490974
832,47,785,0.056490384615384616
833,22,811,0.026410564225690276
834,23,811,0.027577937649880094
835,49,786,0.058682634730538925
836,64,772,0.07655502392344497
837,50,787,0.05973715651135006
838,60,778,0.07159904534606205
839,40,799,0.04767580452920143
840,46,794,0.05476190476190476
841,28,813,0.03329369797859691
842,36,806,0.04275534441805225
843,67,776,0.07947805456702253
844,64,780,0.07582938388625593
845,45,800,0.05325443786982249
846,22,824,0.026004728132387706
847,65,782,0.07674144037780402
848,51,797,0.060141509433962265
849,59,790,0.06949352179034157
850,37,813,0.04352941176470588
851,54,797,0.06345475910693302
852,36,816,0.04225352112676056
853,52,801,0.06096131301289566
854,34,820,0.03981264637002342
855,30,825,0.03508771929824561
856,47,809,0.054906542056074766
857,22,835,0.025670945157526253
858,36,822,0.04195804195804196
859,30,829,0.034924330616996506
860,48,812,0.05581395348837209
861,31,830,0.036004645760743324
862,38,824,0.04408352668213457
863,23,840,0.026651216685979143
864,22,842,0.02546296296296296
865,44,821,0.05086705202312139
866,66,800,0.07621247113163972
867,65,802,0.07497116493656286
868,51,817,0.0587557603686636
869,22,847,0.02531645569620253
870,27,843,0.03103448275862069
871,62,809,0.0711825487944891
872,22,850,0.02522935779816514
873,33,840,0.037800687285223365
874,66,808,0.07551487414187644
875,32,843,0.036571428571428574
876,44,832,0.0502283105022831
877,52,825,0.059293044469783354
878,45,833,0.05125284738041002
879,51,828,0.05802047781569966
880,25,855,0.028409090909090908
881,29,852,0.032917139614074914
882,46,836,0.05215419501133787
883,26,857,0.02944507361268403
884,77,807,0.08710407239819004
885,60,825,0.06779661016949153
886,23,863,0.025959367945823927
887,31,856,0.03494926719278467
888,31,857,0.03490990990990991
889,74,815,0.08323959505061868
890,37,853,0.04157303370786517
891,42,849,0.04713804713804714
892,37,855,0.04147982062780269
893,40,853,0.04479283314669653
894,35,859,0.039149888143176735
895,42,853,0.04692737430167598
896,37,859,0.041294642857142856
897,44,853,0.04905239687848383
898,66,832,0.07349665924276169
899,76,823,0.08453837597330367
900,24,876,0.02666666666666667
901,52,849,0.05771365149833518
902,37,865,0.041019955654102
903,54,849,0.059800664451827246
904,54,850,0.059734513274336286
905,23,882,0.02541436464088398
906,46,860,0.05077262693156733
907,42,865,0.04630650496141125
908,74,834,0.08149779735682819
909,42,867,0.0462046204620462
910,37,873,0.04065934065934066
911,63,848,0.06915477497255763
912,28,884,0.03070175438596491
913,61,852,0.06681270536692223
914,32,882,0.0350109409190372
915,37,878,0.040437158469945354
916,72,844,0.07860262008733625
917,31,886,0.03380588876772083
918,34,884,0.037037037037037035
919,58,861,0.06311207834602829
920,58,862,0.06304347826086956
921,74,847,0.08034744842562432
922,23,899,0.024945770065075923
923,25,898,0.027085590465872156
924,47,877,0.050865800865800864
925,44,881,0.04756756756756757
926,38,888,0.04103671706263499
927,38,889,0.040992448759439054
928,32,896,0.034482758620689655
929,30,899,0.03229278794402583
930,48,882,0.05161290322580645
931,24,907,0.02577873254564984
932,52,880,0.055793991416309016
933,86,847,0.09217577706323687
934,59,875,0.06316916488222699
935,23,912,0.02459893048128342
936,26,910,0.027777777777777776
937,59,878,0.06296691568836713
938,38,900,0.04051172707889126
939,55,884,0.058572949946751864
940,67,873,0.07127659574468086
941,44,897,0.04675876726886291
942,40,902,0.04246284501061571
943,51,892,0.05408271474019088
944,32,912,0.03389830508474576
